2,0.00270400
3,0.00810900
4,0.01639000
5,0.02715400
6,0.04037200
7,0.05609900
8,0.07448900
9,0.09451300
10,0.11746100
11,0.14124100
12,0.16662100
13,0.19436000
14,0.22334600
15,0.25390800
16,0.28379700
17,0.31532700
18,0.34680300
19,0.37905200
20,0.41046700
21,0.44416500
22,0.47620800
23,0.50760400
24,0.53821900
25,0.56831500
26,0.59813000
27,0.62611900
28,0.65424100
29,0.68090100
30,0.70619400
31,0.73107500
32,0.75290200
33,0.77562700
34,0.79458700
35,0.81442500
36,0.83224400
37,0.84896400
38,0.86415200
39,0.87830400
40,0.89137100
41,0.90310500
42,0.91388300
43,0.92347400
44,0.93265200
45,0.94128500
46,0.94776900
47,0.95484900
48,0.96049200
49,0.96561300
50,0.97014400
51,0.97431300
52,0.97798100
53,0.98125800
54,0.98388800
55,0.98627400
56,0.98841700
57,0.99007400
58,0.99166200
59,0.99308000
60,0.99411000
61,0.99500100
62,0.99602400
63,0.99663600
64,0.99719900
65,0.99768900
66,0.99812500
67,0.99838400
68,0.99872200
69,0.99895000
70,0.99918900
71,0.99931600
72,0.99942000
73,0.99955200
74,0.99967700
75,0.99972000
76,0.99978100
77,0.99979600
78,0.99987000
79,0.99989300
80,0.99991700
81,0.99994200
82,0.99994400
83,0.99996200
84,0.99996900
85,0.99997700
86,0.99998700
87,0.99998900
88,0.99998500
89,0.99999000
90,0.99999600
91,0.99999800
92,0.99999500
93,0.99999800
94,0.99999900
95,0.99999800
96,1.00000000
97,0.99999900
98,1.00000000
99,0.99999900
100,1.00000000
